AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
AIR ASIA,2021,JAN,4495,8590.4,4621.139,531578,558871.307,836264.022,66.82952899,3175.7262,230.1885,3405.9147,37494.47288,4067.437374,269.2422575,41831.15251,92422.78,45.26065166
AIR ASIA,2021,FEB,4340,8239.033333,4417,520603,542276.763,798746.808,67.89094586,3410.6377,211.8922,3622.5299,39555.5841,4264.010976,251.9886241,44071.5837,88341.12,49.88796124
AIR ASIA,2021,MAR,4727,9023.3,4855.674,541512,572123.104,878405.634,65.13199391,3662.2624,211.7535,3874.0159,38524.44195,4577.131657,280.847992,43382.4216,97113.48,44.67188448
AIR ASIA,2021,APR,3195,6341.383333,3481.586,354878,403399.335,630122.874,64.0191543,2487.1216,169.238,2656.3596,27963.79866,3332.789591,208.0441145,31504.63237,69631.72,45.24465627
AIR ASIA,2021,MAY,809,1562.15,867.183,63532,70007.636,157745.28,44.38017797,1344.1482,57.5075,1401.6557,4039.994933,1744.005877,114.999778,5899.000588,17343.66,34.01243214
AIR ASIA,2021,JUNE,1081,1998.433333,1082.085,106632,107461.227,197372.13,54.44599853,999.862,97.4495,1097.3115,5674.441101,2390.072116,191.921503,8256.43472,21641.7,38.15058299
AIR ASIA,2021,JULY,1721,3141.533333,1700.45,164608,165951.701,309698.724,53.58488368,1453.455,135.3095,1588.7645,8240.750566,3073.852856,270.4880195,11585.09144,34009,34.06478121
AIR ASIA,2021,AUG,3292,6357.566667,3492.792,348656,382173.526,633516.762,60.32571653,2804.6788,134.4924,2939.1712,20551.43027,6955.750691,297.6533518,27804.83431,69855.84,39.80316365
AIR ASIA,2021,SEP,3475,6675.316667,3639.185,412671,448865.64,659935.56,68.01658635,3091.195,189.823,3281.018,24701.41309,7028.240434,418.2643095,32147.91783,72783.7,44.16911731
AIR ASIA,2021,OCT,4387,8476.8,4621.564,571707,617485.833,837436.752,73.73522019,3535.084,221.0307,3756.1147,41769.47454,8406.168235,484.0902355,50659.73301,92431.28,54.80799683
